index_label,longitude,latitude,time,d2m,t2m,skt,stl1,stl2,stl3,stl4
0,100.5,30.5,2020-01-01 00:00:00,247.742213757048,258.42493178369205,250.49936046923116,265.5916313751278,268.801990303609,273.2543399253078,276.0459197545869
1,100.5,30.5,2020-01-01 01:00:00,248.14017038760232,258.1558556876786,251.58967165396652,265.58665953901567,268.6778452223617,273.25347569476565,276.0431629433716
2,100.5,30.5,2020-01-01 02:00:00,249.44376136340065,261.90065266530013,258.68437260252625,267.0660569954975,268.6884628937842,273.2505949262919,276.0421291391658
3,100.5,30.5,2020-01-01 03:00:00,251.39000440342022,266.18174613773465,267.1552518070087,268.8277442579025,268.8060740233868,273.24771415781817,276.0393723279505
4,100.5,30.5,2020-01-01 04:00:00,254.760879932689,269.3531326762655,274.0396868932901,269.829845447618,269.0139353600804,273.2448333893444,276.03661551673514
5,100.5,30.5,2020-01-01 05:00:00,256.66793687123163,271.5354325997952,276.01476847603925,270.4524298141061,269.2589585467526,273.24396915880226,276.03385870551983
6,100.5,30.5,2020-01-01 06:00:00,257.15123212278013,272.97452578916364,277.1157110807775,270.9904929666876,269.5260338202252,273.24080031348115,276.03110189430447
7,100.5,30.5,2020-01-01 07:00:00,257.3915735451718,273.8634047546149,277.6118440142432,271.16174509943943,269.76779003107515,273.2379195450074,276.0283450830891
8,100.5,30.5,2020-01-01 08:00:00,257.06328109502084,274.1111403326687,277.07318540076614,271.2379799198257,269.97973508754654,273.23705531446524,276.0255882718738
9,100.5,30.5,2020-01-01 09:00:00,254.78874560485033,274.0554694162521,275.4288591069941,271.258419690509,270.1659527094174,273.23590300707576,276.02283146065844
10,100.5,30.5,2020-01-01 10:00:00,255.11355484598113,272.6970990556877,272.3091279706061,271.20925375562217,270.3190922010875,273.233022238602,276.0200746494431
11,100.5,30.5,2020-01-01 11:00:00,255.08917238283993,270.9963525591614,267.70099803382095,271.0705947707167,270.4416037944236,273.2324460849072,276.01731783822777
12,100.5,30.5,2020-01-01 12:00:00,255.0717563377391,269.3596276165141,262.5199526857719,270.81703112899703,270.523278189981,273.230717623823,276.0147333277134
13,100.5,30.5,2020-01-01 13:00:00,255.06740232646388,267.86857490515683,259.4592849938441,270.3215047964861,270.54083818502585,273.22783685534927,276.011976516498
